# time [s]	  Signal 1	  Signal 2
     15.30	    1.2049	   -2.1898
     15.35	   -0.7121	    1.7051
     15.40	   -1.4968	    2.4653
     15.45	   -0.7522	   -1.0925
     15.50	    1.4012	    2.8135
     15.55	    1.9433	   -1.4935
     15.60	    0.1688	    1.0658
     15.65	   -0.1545	    2.9757
     15.70	    0.1621	    2.3906
     15.75	    2.6338	    1.2906
     15.80	    4.5074	   -1.8768
     15.85	    4.1121	   -1.0281
     15.90	    1.6708	   -2.5609
     15.95	   -1.0645	   -1.1345
     16.00	   -2.0597	    0.1642
     16.05	   -1.7154	   -0.3039
     16.10	    1.1488	   -3.2819
     16.15	    1.2844	   -1.6478
     16.20	    1.5248	   -1.4556
     16.25	   -0.0293	   -1.0496
     16.30	   -1.6180	   -1.4159
     16.35	   -1.2405	   -1.5143
     16.40	    0.6302	   -1.7161
     16.45	    1.5963	    3.1052
     16.50	    0.8477	    0.0245
     16.55	    2.1872	   -2.7682
     16.60	    1.4031	   -3.6415
     16.65	   -0.3935	   -1.8273
     16.70	   -1.7806	    2.1003
     16.75	   -3.3613	    3.6605
     16.80	   -4.1043	   -0.4283
     16.85	   -1.5181	    0.0484
     16.90	    1.1649	    3.9677
     16.95	    1.8676	   -3.0478
     17.00	   -0.6442	    3.5033
     17.05	   -2.3777	   -1.2554
     17.10	   -2.9649	   -2.8252
     17.15	   -0.5822	    0.4422
     17.20	    2.2412	    1.9884
     17.25	    1.8874	   -1.0231
     17.30	    0.8708	   -0.3226
     17.35	   -2.1568	    3.9538
     17.40	   -2.4417	    0.8848
     17.45	   -3.0576	   -2.4730
     17.50	   -1.5755	   -1.0599
     17.55	   -2.2574	   -0.2546
     17.60	   -1.1159	   -1.6941
     17.65	   -0.9974	    1.4694
     17.70	   -0.2016	    0.5989
     17.75	    0.5871	   -1.0775
     17.80	    0.9820	    0.9551
     17.85	   -0.8140	   -2.1024
     17.90	   -0.2849	   -3.4569
     17.95	    0.0612	   -2.2174
     18.00	    0.8745	    3.4871
     18.05	   -0.8073	    1.5523
     18.10	   -1.4166	   -0.2354
     18.15	   -3.4353	    1.5848
     18.20	   -2.2073	   -3.4872
     18.25	   -2.5487	   -3.5974
     18.30	   -1.3093	   -3.8622
     18.35	   -0.8824	   -1.1081
     18.40	   -0.4840	    0.2677
     18.45	    0.0281	   -2.1572
     18.50	    0.4739	   -2.3949
     18.55	    2.3304	   -0.0969
     18.60	    2.5388	   -2.9447
     18.65	   -0.4057	   -2.7402
     18.70	   -0.8905	   -3.8260
     18.75	   -2.6778	   -3.0852
     18.80	   -2.6020	   -1.9322
     18.85	   -0.3757	    0.9355
     18.90	    0.9212	    0.1977
     18.95	    0.8396	    2.1931
     19.00	   -0.3163	   -2.6632
     19.05	   -2.1123	    3.2221
     19.10	   -0.6798	    1.3182
     19.15	    0.8275	   -2.3128
     19.20	    2.0459	    2.5255
     19.25	    2.7175	   -2.9012
     19.30	    0.9197	   -0.8760
     19.35	    1.1475	   -2.7377
     19.40	   -0.6936	   -1.3440
     19.45	   -0.0930	    0.0373
     19.50	   -1.8681	    0.4196
     19.55	   -0.7174	   -3.5146
     19.60	    0.2513	   -1.0621
     19.65	    2.7568	    2.9327
     19.70	    3.6554	    3.6991
     19.75	    1.0732	   -0.6040
     19.80	   -0.2644	   -0.2124
     19.85	   -0.9159	    3.9951
     19.90	    1.1555	    1.8106
     19.95	    2.7139	    0.6004
     20.00	    5.0539	    1.1737
     20.05	    2.5735	    2.4782
     20.10	   -0.9345	    2.7053
     20.15	   -2.9091	   -3.9241
     20.20	   -2.2224	   -2.1218
     20.25	   -0.3149	    3.5299
     20.30	    2.4553	   -1.1955
     20.35	    2.0639	    1.3840
     20.40	    0.9362	    1.1607
     20.45	    1.1812	    2.7620
     20.50	    2.2368	   -3.8015
     20.55	    2.0543	   -1.2955
     20.60	    2.1364	   -2.5740
     20.65	    0.5406	   -0.1875
     20.70	    2.1082	    2.7666
     20.75	    1.9015	   -1.8100
     20.80	    1.5209	   -3.3865
     20.85	   -0.1870	    3.9748
     20.90	   -1.9927	    1.0948
     20.95	   -1.1670	    3.0293
     21.00	   -0.4262	   -1.2110
     21.05	    0.7785	    2.8010
     21.10	    1.4749	   -2.0857
     21.15	    2.2644	   -3.2738
     21.20	   -0.5350	   -2.4063
     21.25	    0.8877	   -3.8102
     21.30	    1.1433	    2.3053
     21.35	    2.5444	    2.8386
     21.40	    1.9283	    3.0770
     21.45	    0.2111	   -3.6346
     21.50	   -1.0993	    3.8123
     21.55	   -1.4063	    1.6075
     21.60	    0.4264	    0.2268
     21.65	    1.1031	    1.0105
     21.70	   -0.2545	    2.2827
     21.75	   -0.5618	    1.5963
     21.80	   -2.0608	    1.8789
     21.85	   -0.9090	   -2.3677
     21.90	    1.5091	   -0.7381
     21.95	    1.9853	   -2.8654
     22.00	    1.0633	    3.8845
     22.05	   -0.2640	    0.0678
     22.10	   -0.7662	    2.8188
     22.15	   -1.5111	    1.9506
     22.20	   -2.1183	    3.7148
     22.25	   -1.6877	    1.1894
     22.30	   -2.5011	    1.9633
     22.35	   -0.1095	    2.7267
     22.40	   -1.2375	    0.5225
     22.45	   -0.2939	    0.1809
     22.50	   -1.2327	    1.5418
     22.55	   -3.0908	    0.3934
     22.60	   -1.6204	   -0.2417
     22.65	   -1.4556	    1.4123
     22.70	    1.7598	   -1.1464
     22.75	    2.6791	   -0.0879
     22.80	    0.5212	    1.4263
     22.85	   -2.1180	    3.4229
     22.90	   -5.2940	    2.5561
     22.95	   -3.4139	    3.2024
     23.00	   -1.2446	   -3.8560
     23.05	    1.5334	   -1.8788
     23.10	    1.5712	    2.4678
     23.15	   -0.4983	   -0.6145
     23.20	   -1.4785	   -2.7134
     23.25	   -1.5429	   -3.8954
     23.30	   -0.4431	   -2.0339
     23.35	   -0.0235	   -0.2601
     23.40	   -0.0887	   -1.1046
     23.45	    1.1427	    1.3091
     23.50	    0.8240	    3.4867
     23.55	    0.6288	   -0.3384
     23.60	   -1.3272	   -1.6859
     23.65	   -3.1695	   -1.8709
     23.70	   -3.0889	    2.9112
     23.75	   -2.2227	    0.6961
     23.80	    0.6474	    0.5059
     23.85	    1.0810	   -0.5213
     23.90	    1.6764	    2.8201
     23.95	    0.6373	   -2.9851
     24.00	   -1.0220	   -2.3005
     24.05	   -0.5540	   -2.0761
     24.10	    1.7904	   -3.7962
     24.15	    2.5710	   -2.8496
     24.20	    1.2185	   -0.4460
     24.25	   -1.3296	    1.7999
     24.30	   -1.2272	    0.0825
     24.35	    0.2427	   -0.2384
     24.40	    0.2165	   -0.8804
     24.45	    0.4338	   -1.0990
     24.50	    0.7107	   -3.3355
     24.55	   -1.1878	   -3.8394
     24.60	    0.9518	    0.7939
     24.65	    1.6432	   -2.6131
     24.70	    4.0363	    0.8330
     24.75	    3.6766	    2.7819
     24.80	    2.2632	   -2.7964
     24.85	   -0.8152	    3.2296
     24.90	   -0.9817	    0.3150
     24.95	   -0.7759	    1.0558
     25.00	    0.2648	   -2.0139
     25.05	    1.7054	    2.0557
     25.10	    0.6830	    1.7646
     25.15	    0.9863	   -3.8727
     25.20	   -0.1035	    3.0883
     25.25	    0.1904	   -1.1429
     25.30	    0.4859	   -2.8027
     25.35	    0.9610	    1.9923
     25.40	    2.1374	   -0.7186
     25.45	    2.2363	   -2.2179
     25.50	    4.1111	    0.4356
     25.55	    1.7195	   -0.6101
     25.60	   -0.2661	    3.2350
     25.65	   -2.5274	   -3.1709
     25.70	   -2.9451	    0.0303
     25.75	    0.1376	   -1.7476
     25.80	    2.9121	   -0.2549
     25.85	    3.4235	    0.1977
     25.90	    1.3660	   -2.3085
     25.95	   -0.2771	    2.2437
     26.00	   -1.4182	   -2.3777
     26.05	    0.8486	    3.4892
     26.10	    1.6548	   -2.4691
     26.15	    3.0214	   -2.6815
     26.20	    1.6387	    1.5894
     26.25	    0.9849	    0.1883
     26.30	   -1.7489	    3.9411
     26.35	   -1.5056	   -3.4085
     26.40	   -1.0639	   -0.9441
     26.45	   -0.8754	    0.3386
     26.50	   -0.4326	    3.6265
     26.55	    0.7742	   -0.9345
     26.60	    1.8254	   -3.5035
     26.65	    0.6772	    3.8831
     26.70	   -0.0361	   -1.9238
     26.75	   -0.4254	   -3.3667
     26.80	   -0.8153	    0.4754
     26.85	    0.0202	    1.7750
     26.90	    1.5513	    3.3635
     26.95	    1.1516	    0.9461
     27.00	   -1.1003	   -1.8686
     27.05	   -3.3906	    3.3040
     27.10	   -3.5858	   -3.7181
     27.15	   -2.4040	   -2.6228
     27.20	    0.0189	    0.7350
     27.25	   -0.4189	   -3.1723
     27.30	   -1.1092	    2.0070
     27.35	   -1.1444	   -0.4839
     27.40	   -0.9429	    2.6972
     27.45	    0.7890	    2.8201
     27.50	    0.4527	    0.3990
     27.55	   -0.1463	   -0.4598
     27.60	   -2.5976	    3.6750
     27.65	   -2.6383	    3.2858
     27.70	   -2.5612	   -0.5590
     27.75	   -0.1260	    3.3039
     27.80	   -1.1575	   -0.2242
     27.85	   -0.9618	   -3.6519
     27.90	   -2.9105	    1.6129
     27.95	   -1.7024	   -0.2460
     28.00	   -1.0111	   -3.3332
     28.05	    0.6856	   -2.7751
     28.10	    0.2384	    0.8212
     28.15	    0.2674	   -2.9890
     28.20	    1.5936	    3.0217
     28.25	    0.9022	    2.5240
     28.30	   -0.7490	    1.0240
     28.35	   -1.0355	    2.2309
     28.40	   -4.1635	    3.2221
     28.45	   -2.0100	    0.8657
     28.50	   -1.8790	    1.4513
     28.55	    1.2770	   -2.8237
     28.60	    2.0933	    3.7506
     28.65	    0.4938	    0.7733
     28.70	   -2.4060	   -1.8037
     28.75	   -2.0828	   -1.2040
     28.80	   -0.6492	   -2.2343
     28.85	    3.0161	    2.1349
     28.90	    4.0312	    1.4331
     28.95	    1.1650	    3.0989
     29.00	   -1.6110	    3.8155
     29.05	   -1.5067	    3.4869
     29.10	   -1.6853	    1.1750
     29.15	   -0.3833	   -0.9916
     29.20	   -0.1979	    0.9996
     29.25	    0.5040	   -0.7899
     29.30	   -0.0005	   -0.9164
     29.35	    0.8900	    1.4871
     29.40	    0.5923	   -0.3176
     29.45	    0.1774	   -0.6826
     29.50	   -0.0358	   -1.8080
     29.55	    1.4588	    3.7055
     29.60	    1.8098	   -1.7750
     29.65	    2.4515	   -0.9432
     29.70	    2.5837	   -0.7398
     29.75	   -0.5689	   -1.6678
     29.80	   -1.5644	   -2.9031
     29.85	   -2.0922	    2.2172
     29.90	   -0.9426	   -3.4657
     29.95	    2.2523	   -1.4381
     30.00	    1.6943	   -1.3040
     30.05	    1.6331	    0.9172
     30.10	    1.2662	    2.9634
     30.15	    0.4969	   -3.4407
     30.20	    2.2997	   -3.3487
     30.25	    3.1099	    3.6343
     30.30	    2.1029	    0.6888
     30.35	    0.5856	   -2.1687
     30.40	   -0.1367	    0.1138
     30.45	   -0.5919	    0.2638
     30.50	    0.7404	    0.2847
     30.55	    0.3497	   -3.3993
     30.60	    0.2102	   -3.0627
     30.65	    0.1742	    3.7126
     30.70	    0.3596	   -3.9777
     30.75	    0.8086	   -0.7497
     30.80	    2.3797	   -1.8291
     30.85	    2.1538	   -1.4197
     30.90	    1.7149	   -2.7335
     30.95	    2.0549	    0.4577
     31.00	    0.6747	    1.9391
     31.05	    0.6847	   -0.0009
     31.10	   -0.7215	   -2.7124
     31.15	   -0.8684	   -1.8958
     31.20	   -0.4754	    3.6033
     31.25	    0.1578	   -0.8118
     31.30	    0.9283	   -2.8398
     31.35	    0.3129	    1.1555
     31.40	    0.7732	   -3.6773
     31.45	   -1.6858	   -0.7923
     31.50	   -1.5753	   -3.7725
     31.55	   -0.2864	   -3.6595
     31.60	    3.7166	   -0.8764
     31.65	    4.1827	    2.8866
     31.70	    2.4604	   -0.6423
     31.75	   -1.7595	   -0.5963
     31.80	   -3.4781	   -3.3699
     31.85	   -3.3848	   -1.0426
     31.90	   -0.2041	   -3.5759
     31.95	   -0.4814	    2.8057
     32.00	    0.3340	    2.0419
     32.05	   -0.0020	    3.0150
     32.10	   -0.9604	   -0.1863
     32.15	   -2.0803	    3.7283
     32.20	   -0.9519	    0.6857
     32.25	   -1.1225	   -2.0014
     32.30	    0.1428	    1.9998
     32.35	    0.8940	    3.2437
     32.40	    0.2272	   -0.6545
     32.45	   -0.2563	    0.7283
     32.50	   -1.8183	    2.4067
     32.55	   -4.1999	   -0.5824
     32.60	   -3.2041	   -3.6165
     32.65	   -3.1294	   -2.1921
     32.70	   -0.5552	    3.0345
     32.75	    0.2666	    0.1013
     32.80	    0.3192	    0.8133
     32.85	   -2.3557	   -2.9912
     32.90	   -2.5354	    0.7895
     32.95	   -0.0924	    1.1299
     33.00	   -0.2804	    2.2944
     33.05	    0.6012	    3.6644
     33.10	   -0.7325	   -1.3848
     33.15	   -0.6887	   -2.9787
     33.20	   -1.6608	   -3.1334
     33.25	   -1.0308	   -1.3279
     33.30	   -1.5049	   -2.4267
     33.35	   -0.7719	    2.5258
     33.40	   -1.8581	   -0.6175
     33.45	   -2.0543	   -1.1208
     33.50	   -0.6270	    1.1441
     33.55	    1.4034	   -1.0854
     33.60	    1.9501	    1.6043
     33.65	    0.1556	    3.9492
     33.70	   -1.0641	   -2.3225
     33.75	   -0.6918	    1.4580
     33.80	   -0.8188	   -3.9785
     33.85	    0.0851	    2.1386
     33.90	    0.1504	   -2.2877
     33.95	   -1.6886	   -0.6061
     34.00	   -0.1494	   -3.4716
     34.05	    0.3651	   -1.6621
     34.10	   -0.1314	    3.7638
     34.15	   -0.6785	    0.0504
     34.20	   -1.2430	   -2.5764
     34.25	   -1.2173	   -1.9137
     34.30	    0.2551	    3.2619
     34.35	    2.8103	    3.4479
     34.40	    3.4166	    1.0815
     34.45	    2.2362	    1.9779
     34.50	   -0.4154	    0.1927
     34.55	   -1.9744	    2.0158
     34.60	   -2.1458	    0.6762
     34.65	   -0.5910	    0.3629
     34.70	    1.5610	   -1.4290
     34.75	    2.7926	   -1.7534
     34.80	    0.7162	    2.1799
     34.85	   -0.8915	   -0.7149
     34.90	   -0.3730	    0.0246
     34.95	    1.4410	   -1.2357
     35.00	    2.4361	   -2.5010
     35.05	    3.9085	    1.3030
     35.10	    1.9127	    0.3043
     35.15	    1.0627	   -2.2771
     35.20	    1.7554	    2.3045
     35.25	   -0.0976	   -2.3098
     35.30	   -0.5097	    3.9800
     35.35	   -2.1856	   -0.0862
     35.40	    0.6517	    1.2428
     35.45	    0.9584	   -3.7802
     35.50	    2.6212	   -2.7991
     35.55	    1.8914	   -0.9195
     35.60	   -0.7203	   -1.6980
     35.65	   -1.4901	    1.4467
     35.70	    0.6295	    2.5622
     35.75	    1.9675	   -2.6008
     35.80	    3.1207	    1.7735
     35.85	    2.0450	    1.8180
     35.90	   -0.3935	    2.9433
     35.95	   -2.0655	    0.5587
     36.00	   -0.8377	    1.8496
     36.05	    0.0348	   -2.0079
     36.10	    0.0999	   -0.3871
     36.15	   -0.0677	    3.8894
     36.20	    0.7505	    1.3319
     36.25	    0.8932	   -0.9125
     36.30	    1.7385	   -2.3958
     36.35	    2.4738	    2.2731
     36.40	    1.1674	    3.1359
     36.45	    0.8433	    0.1456
     36.50	   -0.8181	   -0.4207
     36.55	    0.0904	    1.1336
     36.60	   -0.2818	   -3.6403
     36.65	    0.7805	    3.5781
     36.70	   -1.3934	    3.9105
     36.75	   -1.0355	    1.2833
     36.80	   -2.6202	    3.4946
     36.85	   -0.5673	    1.8606
     36.90	    0.1230	    1.0274
     36.95	   -0.0018	   -3.3333
     37.00	   -0.8036	   -2.8872
     37.05	    0.1523	   -0.3918
     37.10	    0.7040	    2.9838
     37.15	    2.2215	    3.3347
     37.20	   -0.0402	   -1.0423
     37.25	   -1.0246	    0.0552
     37.30	   -3.8081	   -2.1931
     37.35	   -3.4735	    3.0590
     37.40	   -1.3745	   -1.1354
     37.45	    0.9029	   -3.9704
     37.50	   -0.4938	   -0.4246
     37.55	    0.2897	    0.7522
     37.60	   -0.5469	   -0.4507
     37.65	    0.6453	   -0.5975
     37.70	   -0.1759	   -0.9581
     37.75	    0.6707	    0.6474
     37.80	   -0.4097	    0.9800
     37.85	    0.5014	    0.9365
     37.90	    0.4551	    0.6179
     37.95	   -0.5507	   -0.6468
     38.00	    0.0452	   -0.8381
     38.05	   -0.6504	    0.1404
     38.10	    0.5424	    0.4523
     38.15	    0.1013	   -0.4376
     38.20	   -0.8693	    0.5157
     38.25	   -0.5259	    0.7472
     38.30	   -0.7561	   -0.9160
     38.35	   -0.2792	   -0.7079
     38.40	   -0.6476	    0.8668
     38.45	   -0.5424	    0.8005
     38.50	    0.1658	    0.7489
     38.55	   -0.0810	   -0.3395
     38.60	    0.3127	   -0.9062
     38.65	    0.5345	    0.5501
     38.70	    0.7573	   -0.7546
